Number of Nodes,Operation,Hops
1000,insert,10
1000,search,10
1000,insert,6
1000,search,6
1000,insert,5
1000,search,5
1000,insert,8
1000,search,8
1000,insert,4
1000,search,4
1000,insert,7
1000,search,7
1000,insert,5
1000,search,5
1000,insert,3
1000,search,3
1000,insert,10
1000,search,10
1000,insert,9
1000,search,9
1000,insert,8
1000,search,8
1000,insert,6
1000,search,6
1000,insert,9
1000,search,9
1000,insert,8
1000,search,8
1000,insert,14
1000,search,14
1000,insert,5
1000,search,5
1000,insert,10
1000,search,10
1000,insert,11
1000,search,11
1000,insert,5
1000,search,5
1000,insert,8
1000,search,8
1000,insert,13
1000,search,13
1000,insert,11
1000,search,11
1000,insert,9
1000,search,9
1000,insert,5
1000,search,5
1000,insert,8
1000,search,8
1000,insert,11
1000,search,11
1000,insert,7
1000,search,7
1000,insert,6
1000,search,6
1000,insert,10
1000,search,10
1000,insert,5
1000,search,5
1000,insert,4
1000,search,4
1000,insert,10
1000,search,10
1000,insert,9
1000,search,9
1000,insert,11
1000,search,11
1000,insert,4
1000,search,4
1000,insert,10
1000,search,10
1000,insert,6
1000,search,6
1000,insert,12
1000,search,12
1000,insert,7
1000,search,7
1000,insert,9
1000,search,9
1000,insert,8
1000,search,8
1000,insert,11
1000,search,11
1000,insert,10
1000,search,10
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,12
1000,search,12
1000,insert,6
1000,search,6
1000,insert,7
1000,search,7
1000,insert,13
1000,search,13
1000,insert,11
1000,search,11
1000,insert,14
1000,search,14
1000,insert,13
1000,search,13
1000,insert,7
1000,search,7
1000,insert,7
1000,search,7
1000,insert,4
1000,search,4
1000,insert,9
1000,search,9
1000,insert,3
1000,search,3
1000,insert,6
1000,search,6
1000,insert,11
1000,search,11
1000,insert,7
1000,search,7
1000,insert,7
1000,search,7
1000,insert,7
1000,search,7
1000,insert,11
1000,search,11
1000,insert,10
1000,search,10
1000,insert,13
1000,search,13
1000,insert,4
1000,search,4
1000,insert,8
1000,search,8
1000,insert,6
1000,search,6
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,12
1000,search,12
1000,insert,8
1000,search,8
1000,insert,7
1000,search,7
1000,insert,3
1000,search,3
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,6
1000,search,6
1000,insert,6
1000,search,6
1000,insert,7
1000,search,7
1000,insert,8
1000,search,8
1000,insert,8
1000,search,8
1000,insert,6
1000,search,6
1000,insert,7
1000,search,7
1000,insert,10
1000,search,10
1000,insert,11
1000,search,11
1000,insert,12
1000,search,12
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,8
1000,search,8
1000,insert,11
1000,search,11
1000,insert,10
1000,search,10
1000,insert,9
1000,search,9
1000,insert,8
1000,search,8
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,6
1000,search,6
1000,insert,7
1000,search,7
1000,insert,11
1000,search,11
,,8.258426966
