Number of Nodes,Operation,Hops
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,2
50,search,2
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,7
50,search,7
50,insert,3
50,search,3
50,insert,3
50,search,3
50,insert,4
50,search,4
50,insert,5
50,search,5
50,insert,7
50,search,7
50,insert,5
50,search,5
50,insert,7
50,search,7
50,insert,8
50,search,8
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,7
50,search,7
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,7
50,search,7
50,insert,7
50,search,7
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,3
50,search,3
50,insert,7
50,search,7
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,7
50,search,7
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,7
50,search,7
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,7
50,search,7
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,5
50,search,5
50,insert,8
50,search,8
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,4
50,search,4
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,8
50,search,8
50,insert,6
50,search,6
50,insert,6
50,search,6
50,insert,7
50,search,7
50,insert,4
50,search,4
50,insert,5
50,search,5
50,insert,5
50,search,5
50,insert,7
50,search,7
50,insert,4
50,search,4
50,insert,3
50,search,3
50,insert,4
50,search,4
50,insert,3
50,search,3
50,insert,6
50,search,6
50,insert,4
50,search,4
,,5.172043011
