Number of Nodes,Operation,Hops,Average Hops
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
50,insert,4,4.0
