Number of Nodes,Operation,Hops
10000,insert,4
10000,search,4
10000,insert,9
10000,search,9
10000,insert,16
10000,search,16
10000,insert,12
10000,search,12
10000,insert,8
10000,search,8
10000,insert,8
10000,search,8
10000,insert,11
10000,search,11
10000,insert,11
10000,search,11
10000,insert,9
10000,search,9
10000,insert,13
10000,search,13
10000,insert,13
10000,search,13
10000,insert,10
10000,search,10
10000,insert,8
10000,search,8
10000,insert,8
10000,search,8
10000,insert,15
10000,search,15
10000,insert,12
10000,search,12
10000,insert,13
10000,search,13
10000,insert,9
10000,search,9
10000,insert,7
10000,search,7
10000,insert,12
10000,search,12
10000,insert,11
10000,search,11
10000,insert,8
10000,search,8
10000,insert,8
10000,search,8
10000,insert,10
10000,search,10
10000,insert,8
10000,search,8
10000,insert,10
10000,search,10
10000,insert,11
10000,search,11
10000,insert,9
10000,search,9
10000,insert,10
10000,search,10
10000,insert,11
10000,search,11
10000,insert,11
10000,search,11
10000,insert,9
10000,search,9
10000,insert,10
10000,search,10
10000,insert,13
10000,search,13
10000,insert,14
10000,search,14
10000,insert,13
10000,search,13
10000,insert,11
10000,search,11
10000,insert,15
10000,search,15
10000,insert,10
10000,search,10
10000,insert,8
10000,search,8
10000,insert,12
10000,search,12
10000,insert,9
10000,search,9
10000,insert,8
10000,search,8
10000,insert,7
10000,search,7
10000,insert,12
10000,search,12
10000,insert,15
10000,search,15
10000,insert,13
10000,search,13
10000,insert,7
10000,search,7
10000,insert,10
10000,search,10
10000,insert,13
10000,search,13
10000,insert,13
10000,search,13
10000,insert,7
10000,search,7
10000,insert,7
10000,search,7
10000,insert,13
10000,search,13
10000,insert,12
10000,search,12
10000,insert,10
10000,search,10
10000,insert,14
10000,search,14
10000,insert,15
10000,search,15
10000,insert,7
10000,search,7
10000,insert,10
10000,search,10
10000,insert,8
10000,search,8
10000,insert,7
10000,search,7
10000,insert,14
10000,search,14
10000,insert,7
10000,search,7
10000,insert,15
10000,search,15
10000,insert,12
10000,search,12
10000,insert,8
10000,search,8
10000,insert,15
10000,search,15
10000,insert,10
10000,search,10
10000,insert,10
10000,search,10
10000,insert,13
10000,search,13
10000,insert,12
10000,search,12
10000,insert,8
10000,search,8
10000,insert,11
10000,search,11
10000,insert,11
10000,search,11
10000,insert,10
10000,search,10
10000,insert,9
10000,search,9
10000,insert,14
10000,search,14
10000,insert,13
10000,search,13
10000,insert,9
10000,search,9
10000,insert,11
10000,search,11
10000,insert,12
10000,search,12
10000,insert,7
10000,search,7
10000,insert,13
10000,search,13
10000,insert,7
10000,search,7
10000,insert,10
10000,search,10
10000,insert,12
10000,search,12
10000,insert,11
10000,search,11
10000,insert,9
10000,search,9
10000,insert,7
10000,search,7
10000,insert,11
10000,search,11
10000,insert,12
10000,search,12
10000,insert,8
10000,search,8
10000,insert,10
10000,search,10
10000,insert,12
10000,search,12
10000,insert,9
10000,search,9
10000,insert,9
10000,search,9
10000,insert,13
10000,search,13
10000,insert,11
10000,search,11
10000,insert,7
10000,search,7
,,10.5106383
